,latitude,longitude,geoname_id,location_type_name,location_type_code,location_details
1375,0.31628,32.58219,232422,capital of a political entity,PPLC,
1376,0.43902,33.20317,233114,seat of a first-order administrative division,PPLA,
1377,0.35,32.58333,228828,section of populated place,PPLX,
1378,0.31628,32.58219,232422,capital of a political entity,PPLC,Kampala
1379,-0.00825,31.35513,443787,second-order administrative division,ADM2,"Rugushuru, Sembabule, Uganda"
1380,-0.07722,31.45667,226361,seat of a second-order administrative division,PPLA2,"Rugushuru, Sembabule, Uganda"
1381,,,2245662,independent political entity,PCLI,
1382,-4.2657,15.28048,2572183,first-order administrative division,ADM1,Brazzaville
1383,-4.26613,15.28318,2260535,capital of a political entity,PPLC,Brazzaville
1384,,,2309096,independent political entity,PCLI,
1385,-0.5,16.0,2260487,first-order administrative division,ADM1,Owando
1386,0.00694,15.63333,2257879,populated place,PPL,Owando
1387,-0.48193,15.89988,2255542,seat of a first-order administrative division,PPLA,Owando
1388,-0.00449,15.61193,7870306,second-order administrative division,ADM2,Owando
1389,-0.665,15.974,7870312,second-order administrative division,ADM2,Owando
1390,0.35156,15.43854,8504629,stream,STM,Owando
1391,,,2464461,independent political entity,PCLI,
1392,32.0,10.0,2464698,first-order administrative division,ADM1,Tataouine
1393,36.81897,10.16579,2464470,capital of a political entity,PPLC,Tataouine
1394,-4.32758,15.31357,2314302,capital of a political entity,PPLC,
1395,11.1,-10.11667,2418363,populated place,PPL,"Conakry, Guinea; Labe, Guinea"
1396,9.53795,-13.67729,2422465,capital of a political entity,PPLC,"Conakry, Guinea; Labe, Guinea"
1397,11.31823,-12.28332,2418362,seat of a second-order administrative division,PPLA2,"Conakry, Guinea; Labe, Guinea"
1398,9.53795,-13.67729,2422465,capital of a political entity,PPLC,Conakry
1399,,,2420477,independent political entity,PCLI,Conakry
1400,,,2420477,independent political entity,PCLI,
1401,36.66667,9.25,2472770,first-order administrative division,ADM1,
1402,,,2464461,independent political entity,PCLI,
1403,9.53795,-13.67729,2422465,capital of a political entity,PPLC,"Conakry, Guinea"
1404,,,2363686,independent political entity,PCLI,
1405,,,2363686,independent political entity,PCLI,
1406,11.5,24.66667,408660,first-order administrative division,ADM1,Darfur
1407,13.41667,22.66667,408658,first-order administrative division,ADM1,Darfur
1408,16.0,25.5,408666,first-order administrative division,ADM1,Darfur
1409,11.16667,26.5,8394435,first-order administrative division,ADM1,Darfur
1410,12.38333,23.3,8394436,first-order administrative division,ADM1,Darfur
1411,0.23722,32.62111,228790,populated place,PPL,"Entebbe, Uganda to Kampala, Uganda; Munyonyo, Uganda"
1412,0.06444,32.44694,233508,populated place,PPL,"Entebbe, Uganda to Kampala, Uganda; Munyonyo, Uganda"
1413,0.31628,32.58219,232422,capital of a political entity,PPLC,"Entebbe, Uganda to Kampala, Uganda; Munyonyo, Uganda"
1414,0.33508,32.58313,443339,second-order administrative division,ADM2,"Entebbe, Uganda to Kampala, Uganda; Munyonyo, Uganda"
1415,0.23763,32.47836,448224,second-order administrative division,ADM2,"Entebbe, Uganda to Kampala, Uganda; Munyonyo, Uganda"
1416,0.04239,32.4435,6297374,airport,AIRP,"Entebbe, Uganda to Kampala, Uganda; Munyonyo, Uganda"
1417,,,366755,independent political entity,PCLI,
1418,0.31628,32.58219,232422,capital of a political entity,PPLC,"Mandela National Stadium, Namboole, Uganda"
1419,-20.18972,57.71444,934631,seat of a first-order administrative division,PPLA,Central Flacq
1420,-20.19183,57.71898,8533107,hospital,HSP,Central Flacq
1421,,,226074,independent political entity,PCLI,
1422,,,226074,independent political entity,PCLI,
1423,-15.40669,28.28713,909137,capital of a political entity,PPLC,
1424,,,895949,independent political entity,PCLI,
1425,,,226074,independent political entity,PCLI,
1426,,,226074,independent political entity,PCLI,
1427,-6.82102,37.66122,153220,seat of a first-order administrative division,PPLA,"Cholima, Dakawa, Mvomero District, Morogoro Region,"
1428,,,149590,independent political entity,PCLI,
1429,-6.82349,39.26951,160263,seat of a first-order administrative division,PPLA,Dar es Salaam
1430,-6.56667,38.3,152948,populated place,PPL,Msoga
1431,-12.80243,28.21323,911148,populated place,PPL,
1432,-15.40669,28.28713,909137,capital of a political entity,PPLC,
1433,-12.95867,28.63659,901344,seat of a first-order administrative division,PPLA,
1434,10.81667,-12.7,2416444,populated place,PPL,"Pita, Guinea"
1435,13.51366,2.1098,2440485,capital of a political entity,PPLC,
1436,-15.40669,28.28713,909137,capital of a political entity,PPLC,
1437,,,895949,independent political entity,PCLI,
1438,,,2440476,independent political entity,PCLI,
1439,13.51366,2.1098,2440485,capital of a political entity,PPLC,
1440,,,2440476,independent political entity,PCLI,
1441,11.1,-10.11667,2418363,populated place,PPL,Labe; Conakry
1442,9.53795,-13.67729,2422465,capital of a political entity,PPLC,Labe; Conakry
1443,,,2440476,independent political entity,PCLI,
1444,-0.79,35.35,7667666,first-order administrative division,ADM1,Bomet
